그리스인 조르바 -상편-,니코스 카잔차키스,"소설, 자유, 영혼","현대 그리스 문학을 대표하는 작가 니코스 카잔차키스의 장편소설 『그리스인 조르바』. 카잔차키스에 게 세계적인 명성을 안겨준 작품으로 , 호쾌한 자유인 조르바가 펼치는 영혼의 투쟁을 풍부한 상상력으 로 그리고 있다. 주인공인 조르바는 카잔차키스가 자기 삶에 큰 영향을 끼친 사람으로 꼽는 실존 인물 이다. 이 소설을 이해하기 위해서는 카잔차키스의 인생과 작품의 핵심에 있는 개념이자 그가 지향하던 궁극 적인 가치인 ‘메토이소노 ’, 즉 “거룩하게 되기”를 이해해야 한다. 이것은 보이는 것과 보이지 않는 것, 육체와 영혼, 물질과 정신의 상태 너머에 존재하는 변화이다 . 이 개념에 따라 카잔차키스는 조르바라 고 하는 자유인을 소설로 변화시켰다고 말한다 . 이야기는 젊은 지식인 “나”가 크레타 섬으로 가는 배를 기다리다가 , 60대 노인이지만 거침이 없는 자유 인 조르바를 만나는 것에서 시작된다 . 친구에게 ‘책벌레’라는 조롱을 받은 후 새로운 생활을 해보기로 결심하여 크레타 섬의 폐광을 빌린 “나”에게 조르바는 좋은 동반자가 된다. “나”와 조르바가 크레타 섬 에서 함께한 생활이 펼쳐진다 ."
그리스인 조르바 -하편-,니코스 카잔차키스,"소설, 상상력, 영혼","현대 그리스 문학을 대표하는 작가 니코스 카잔차키스의 장편소설 『그리스인 조르바』. 카잔차키스에 게 세계적인 명성을 안겨준 작품으로 , 호쾌한 자유인 조르바가 펼치는 영혼의 투쟁을 풍부한 상상력으 로 그리고 있다. 주인공인 조르바는 카잔차키스가 자기 삶에 큰 영향을 끼친 사람으로 꼽는 실존 인물 이다. 이 소설을 이해하기 위해서는 카잔차키스의 인생과 작품의 핵심에 있는 개념이자 그가 지향하던 궁극 적인 가치인 ‘메토이소노 ’, 즉 “거룩하게 되기”를 이해해야 한다. 이것은 보이는 것과 보이지 않는 것, 육체와 영혼, 물질과 정신의 상태 너머에 존재하는 변화이다 . 이 개념에 따라 카잔차키스는 조르바라 고 하는 자유인을 소설로 변화시켰다고 말한다 . 이야기는 젊은 지식인 “나”가 크레타 섬으로 가는 배를 기다리다가 , 60대 노인이지만 거침이 없는 자유 인 조르바를 만나는 것에서 시작된다 . 친구에게 ‘책벌레’라는 조롱을 받은 후 새로운 생활을 해보기로 결심하여 크레타 섬의 폐광을 빌린 “나”에게 조르바는 좋은 동반자가 된다. “나”와 조르바가 크레타 섬 에서 함께한 생활이 펼쳐진다 ."
참을 수 없는 존재의 가벼움,밀란 쿤데라,"철학, 사랑, 심리","역사의 상처에서 태어나 단 한 번도 존재의 가벼움을 느껴 보지 못한 현대인 , 그들의 삶과 사랑에 바 치는 소설. 존재의 가벼움과 무거움 , 어느 쪽이 옳은가 . 니체의 영원한 재귀는 무거움이지만 실제요 , 진실이다 . 반면 우리의 삶은 단 한 번이기에 비교도 반복도 되지 않아 깃털처럼 가볍다 . 질투 없이는 사랑할 수 없는 약한 테레자 , 사비나의 외로운 삶. 토마시에게 테레자는 무거움이요 사비나는 가벼움 이다. 일인칭이면서 전지적이요 직선이 아닌 반복서술 , 그리고 가벼움과 무거움이라는 이분법의 와해, 그런 메타포에서 탄생한 인물들 . 쿤데라는 시간의 흐름을 따르는 매끄러움과 개연성을 거부하는 실험적인 기법들을 통해, 인간의 욕망과 아픔과 삶의 한계를 표현하고 있다."
긍정의 힘,조엘 오스틴 Joel Osteen,"자기계발, 심리학, 인생체험","""미래는 바로 여러분의 것입니다 !“ 졸업식과 신입사원 환영회 , 결혼식장에서 자주 들리는 희망의 메시 지다. 당연한 얘기겠지만 열정적으로 인생을 쟁취하고 미래를 소유하는 사람이 있는가 하면 그렇지 못 한 사람도 많다. 꿈을 이루고 성공하고 행복을 쟁취하는 비결은 ‘오늘’을 온전히 사는 것이다 . 최선을 다해 오늘을 살 때 더 나은 내일이 찾아온다 . 누구나 할 수 있다. 어떤 상황에 처해 있든 어떤 고난을 겪고 있든 상관없다 . 누구라도 지금 당장 최선의 삶을 누릴 수 있다. 그러나 부정적인 측면에 초점을 맞춘 채, 자신을 약하고 자격이 없는 사람으로 생각하며 살아가는 인 생이 얼마나 많은가 ! 그들은 자존감이 약하다 . 자신이 행복할 수 없는 이유와 조건을 귀신같이 찾아낸 다. 이런 저런 이유를 내세우면서 행복한 삶을 먼 미래로 미루는 사람도 있다. ”언젠가 내 인생도 풀릴 거야.“ ”언젠가 일이 좀 한가해지면 가족과 즐거운 시간을 보낼 수 있을거야 .“ ”언젠가 건강을 회복할거 야.“ ”언젠가 하나님과 좋은 관계를 맺고 하나님의 복을 더 많이 누리게 될 거야.“ 그러나 ‘언젠가’는 결코 찾아오지 않는다 . 우리에게는 오직 오늘뿐이다 . 과거는 바꿀 수 없고 미래는 어떤 모습일지 알 수 없다. 우리가 능력을 발휘할 수 있는 시간은 바로 오늘뿐이다 . 이 책은 오늘을 온전히 살기 위한 구체적인 방법을 알려 준다. 책장을 넘기는 순간부터 더 나은 삶을 살기 위한, 간단하지만 심오한 일곱 단계가 펼쳐질 것이다 . 당신이 이 책의 일곱 단계를 적용하면 전보 다 더 큰 행복을 얻으리라 믿어 의심치 않는다 . 오늘 하루나 한 주가 아니라 평생 동안 말할 수 없는 기쁨과 평안과 열정이 당신과 함께 할 것이다 ."
___답지 않은 세계,홍정수,"사회, 청소년, 세대론","새로운 세대는 원래 두렵고도 신기한 연구 대상이다 . 진정한 ‘신인류’로 취급받았던 ‘X세대’가 그랬고 , ‘토종 세대론’의 대표 주자인 ‘88만 원 세대’도 그랬다 . 한편 1980년대생부터 2000년대생까지를 모조 리 합쳐 ‘MZ세대’라고 통칭했는데 , 자세히 들여다보면 어느 순간 ‘한 사람’은 지워지고 어디든 MZ와 관련된 것들로 넘쳐 나지만 , 이 기적의 대통합 세대론은 기성세대가 붙인 알파벳 라벨에 불과할 뿐, 정작 거기에는 M도, Z도 없다. 마치 운영자만 있고 이용자는 없는 이상한 놀이동산 같아 보인다 . 이 책은 지금의 세대론이 얼마나 단순하고 납작한 구분에 불과한지 , 우리가 얼마나 다르고 또 다양한 삶을 살아가고 있는지 , 구체적인 사례들을 통해 보여 준다. 91년생인 저자는 여태껏 MZ세대를 규정해 온 납작한 관점들을 다각도로 조명하고 한마디로 설명할 수 없었던 MZ들의 각기 다른 삶의 모습들을 찬찬히 들여다봄으로써 , MZ에 파묻혀 있었던 ‘요즘 것들의 진짜 세계’를 가감 없이 보여 준다. 책은 네 부분으로 구성되어 있는데 , 첫 번째 이야기에서는 양극단에 존재하는 MZ세대의 취향을 들여 다보고 , 두 번째 이야기에서는 MZ세대의 고민을 짚어 본다. 그리고 세 번째 이야기에서는 기성세대가 불편해하는 MZ세대의 측면과 MZ 내에서도 존재하는 차이점을 살펴보고 , 네 번째 이야기에서는 나름 의 방식으로 세상을 조금씩 바꿔 보려는 젊은이들의 분투를 다룬다 . 끝으로 2000년대생 , 1990년대생 , 1980년대생의 인터뷰를 담아 비슷하면서도 각기 다른 청년들의 삶을 그들의 목소리를 통해 들려준다 ."
가난하지 않은 사랑,주서윤,"에세이, 사랑, 자기계발","『가난하지 않은 사랑』은 『놀고 싶지만 불안합니다 』를 통해 아이처럼 놀고 싶지만 얼떨결에 어른이 되 어버린 청춘들을 응원했던 에세이스트 주서윤의 신작 에세이다 . 사랑을 선택하면 가난해진다는 편견을 가진 세상을 향해, 그녀는 ‘내가 사랑하는 걸 사랑한다’라고 당당히 밝히고 싶다고 말한다 . 사소한 내 일을 살아갈 수 있도록 , 사소한 일상을 사랑할 수 있도록 , 작은 삶을 소중히 여기고 사소한 것들을 사 랑하고 싶다고 . 하지만 내가 정말 누군가를 , 그리고 나 스스로를 사랑하게 될 수 있을까 ? 그런 게 정말 가능한 일이긴 한 걸까? 과연 우리는 어떻게 살아야 행복할 수 있을까 ? “나는 선하게 살고 싶다. 내가 나다울 때 부끄럽지 않고 싶다. 모두에게 속마음을 말해도 떳떳해지고 싶다. 마음에 미움보단 사랑이 가득하고 싶다. 내 취향에 조금 더 당당해지고 , 내가 사랑하는 걸 사랑 한다고 밝히고 싶다.” 사랑은 결코 가난하지 않다는 믿음. 사랑은 한 개인의 삶을 구하기도 한다는 믿음. 그 작고 견고한 믿 음이야말로 현실을 살아가는 우리에게 꼭 필요한 것일지 모른다 ."
각자의 요가,이우제,"자기계발, 우화, 체육","전설의 파이터 힉슨 그레이시의 영상을 보고 강한 파이터가 되기 위해 요가를 시작한 청년, 완벽해지 겠다는 욕망으로 쇠질(근력 운동)과 고난도 아사나를 동시에 밀어붙이다 심각한 허리 부상을 당해 수 술대에 오른 요가 강사, 부상에서 회복하면서 앉기나 서기 같은 기본으로 돌아가 평생 모를 뻔했던 깊 은 지혜를 마주하게 된 진지한 수련자…. 이 책은 요가 기능 해부학 강의를 통해 안전하고 즐거운 요 가의 길을 안내하고 있는 요가 강사이자 퍼스널 트레이너 이우제의 첫 번째 요가 에세이다 . 저자는 ‘삶을 위한 요가’를 고민하고 실천하고 있다. 예를 들면, 엄격한 채식을 고집하다 짝과의 갈등 이 깊어지자 ‘간헐적 육식주의자 ’로 전격 전향하는 것. 그랬더니 열렬한 육식 애호가이던 짝이 ‘간헐적 채식주의자 ’로 돌아서는 신기한 변화와 마주할 수 있었다 . 이런 예도 있다. 요가 지도자 과정에 비싼 돈을 내고 학생 신분으로 참가해서 , 누가 시키지도 않았는데 매일 밤 조용히 수련실을 혼자 청소하는 것. 이른바 ‘카르마 요가’를 한 것인데 , 일상으로 돌아와서도 이런 실천을 이어 나가자 행복과 만족이 마음에 깃들고 , 자신을 기르고 봉사를 업으로 삼고 지내는 어머니가 이전보다 더 대단해 보이기 시작 했다. 그리하여 저자는 넓은 마음과 평온이 주름살에 자리 잡은 멋있는 요가 할아버지가 되는 꿈을 품 게 되었다 . “오늘의 요가 수련이란 그동안 쌓여 형성된 자기 몸의 역사로부터 시작하는 것.” 저자는 “소셜 미디어 와 피트니스 시장에서 쉽게 접하는 요가는 과일 가게에 진열된 사과들처럼 모두 비슷해” 보이지만 , 한 그루의 사과나무에 모양도 빛깔도 크기도 제각각인 열매가 열리듯 요가도 “사람마다 전혀 다른 모습과 양상으로 우리 곁에 뿌리를 내리고 열매를 맺는다”고 말한다. “어떤 모습, 어떤 방식이든 당신의 요가 를 응원한다 .”는 저자의 이야기 속으로 들어가 보자."
개독교를 위한 변명,차한,"종교, 비평, 철학","매스컴에서 기독교에 대한 얘기가 나오면 그 피드백이 엄청나다 . 특히 익명성을 갖고 있는 인터넷 공 간에서는 기독교라는 말보다 ‘개독교’라는 표현이 일반 네티즌들에게 더 친숙한 말이 된 것이 엄연한 현실이다 . 그런데 이러한 기독교 비하는 근거와 팩트를 가지고 있다. 다음 사례를 보자. 동문 중에 큰 병원을 경영하는 친구가 있는데 , 어느 날 결코 믿고 싶지 않은 얘기를 들려주었다 . 자기 병원 재무 책임자가 아주 독실한 기독교 장로인데 (그래서 더 재무 담당을 시켰을 거라는 생각을 해 봄.) 몰래 수억 원을 착복하였다는 것이었다 . 그리고 또 지난달 정말로 믿고 싶지 않은 사건이 모 교회 에서 일어났다 . 주일마다 각기 다른 두 번의 예배 곧 ‘열린 새 신자 예배’ 및 한국으로 돌아온 교포나 유학생들을 대상으로 한 ‘포인트 파이브 예배’를 인도해 왔고, 비서실과 통역실 등 그 교회의 실제 업무 를 담임 목사를 대리하여 모두 맡아 온 J 목사의 불륜 행각이 밝혀졌기 때문이다 . 이와 같은 현실에서 비난 받는 교회와 오해받는 기독교에 대한 변증을 어떻게 어떤 방법으로 풀어 나가야 할까? 이 책은 교계 안팎에서 기독교를 비난하는 목소리가 점차 커지고 있는 세태를 보면서 저자 자신의 칼 럼들과 설교들 중 일부를 추려 편찬한 기독교 변증서다 . 총 5부로 구성되어 있는데 , 기독교의 실제, 뉴에이지 , 성경 속 과학, 간증, 성경 이슈 등의 주제 하에 각각 3편의 설교 또는 칼럼을 싣고 있으며 , 저자는 이 책이 누구의 손에 들려 읽히든지 생명의 역사가 순결하게 확산되기를 소망한다 ."
거인들의 인생문장,성기철,"자기계발, 인생지혜, 철학","“산다는 것, 그것은 치열한 전투이다.” 노벨 문학상 수상 작가 로맹 롤랑이 한 말이다 . 그렇다 . 우리는 너 나 할 것 없이 죽느냐 , 사느냐를 결정하는 전장(戰場)에서 하루하루 살아가고 있다. 점령해야 할 목 표 고지는 성공과 사랑, 그리고 행복이다 . 하지만 고지 점령은 쉽지 않다. 우리네 현재 모습을 보면 대 다수가 지쳐 있다. 한글도 제대로 모르는데 외국어 공부를 강요당하는 유소년 , 무한 경쟁 학업에 내몰린 중고교생 , 취업 난에 주눅 든 대학생 , 결혼과 출산이 두려운 청장년 , 자녀 교육과 노후 준비로 허리가 휜 중년, 삼중고 (가난, 질병, 고독)에 시달리는 노년…. 어느 세대 할 것 없이 다들 고단해서 웃음을 잃은 모습이다 . 고 난, 고통이 언제 끝날지 기약조차 없다. 하지만 계속 실의에 빠져 살 수는 없지 않은가 . 우리에겐 주어 진 인생을 아름답게 가꾸어 나갈 의무가 있다. 하루빨리 활기를 되찾아야 한다. 다행히 대문호 요한 볼프강 폰 괴테가 용기를 준다. “고통이 남기고 간 뒤를 보라! 고난이 지나면 반드 시 기쁨이 스며든다 .” “희망만 있으면 행복의 싹은 그곳에서 움튼다.” 희망가를 부르며 행복한 삶을 맞 이하기 위해서는 당연히 필요한 노력을 해야 한다. 행복은 절대 거저 주어지지 않는다 . 특히 청년기와 중장년기를 살고 있다면 자기 인생에 책임감을 갖고 더 큰 노력을 기울여야 한다. 성공과 사랑, 그리고 행복을 찾아 나서는 사람들에게 앞서 세상을 멋지게 살다 간 위인들의 언행은 큰 도움이 된다. 12세기 프랑스 철학자 베르나르 드 샤르트르가 “거인의 어깨에 올라타면 (세상을 ) 더 멀 리 볼 수 있다.”라고 말한 이유가 아닐까 싶다. 과거 위인, 현인들이 남긴 언행에는 인생의 각종 지혜 가 고스란히 담겨 있다. 이는 시행착오를 줄일 수 있는 삶의 이정표가 될 수 있다. 그들의 언행은 주로 그들이 직간접으로 남긴 저작물에서 발견할 수 있다. 문학 작품, 철학서 , 역사서 , 수상록 , 자서전 , 평 전 등으로 대부분 인문 고전에 속한다 . 필자는 행복 탐구자를 자임하며 고전 독서에 푹 빠져 산 지 오래다 . 독서 중에 발견한 좋은 문장, 멋진 발언, 명언 등을 혼자 즐기기에 너무 아깝다는 생각이 들었고 , 많은 사람들과 공유하기 위해 이 책을 쓰게 되었다 . 이 책은 자기 발견, 성공, 사랑, 자녀 양육, 시련 극복, 품격, 멋진 인생, 행복 등 8개 분 야 35개 주제로 구성되어 있다. 각 주제의 주인공은 모두 위인이고 현인이다 . 철학자 , 작가, 정치가 , 거인들의 인생문장 종교인 , 영화배우 등이며 고대인도 있고 현존 인물도 있다. 주제마다 이들의 삶과 저작물 , 멋진 문장이 나 발언을 입체적으로 소개했다 . 그리고 이들의 여러 다른 저작물을 다각도로 분석해 해당 문장이나 발언이 나오게 된 배경을 추적했다 . 여기에 우리 현주소를 대비시키고 , 필자의 생각을 덧붙임으로써 독자들이 넓은 사유의 바다에서 헤엄칠 수 있도록 했다. 인생길이 탄탄대로인 사람은 드물다 . 다들 구불구불한 산길이나 자갈길을 걸어간다 . 그러나 노력하면 가끔 신작로를 만날 수도 있다. 그걸 기대하며 애써 노력하는 과정에서 우리는 성공과 사랑, 그리고 행복의 기쁨을 맛볼 수 있다. 독자들이 치열한 전투 현장에서 벗어나 평화로운 행복의 신작로를 찾는 데 이 책이 조금이나마 도움이 되었으면 좋겠다 ."
걷기의 기쁨,박창희,"자기계발, 철학, 자연생활","이제 걷는다 . 걷다 보면 산길은 살길이 되고, 산책(散策)은 산책(山冊)이 된다. 길을 걸으며 ‘아 행복 해!’, ‘너무 좋아!’라는 말이 그냥 흘러나오면 그 길은 좋은 길이다 . 山冊! 내가 읽었던 책, 그 책 속의 인상적인 구절들이 줄줄이 불려 나온다 . 『동의보감』을 쓴 허준은 “약보(藥補)보다 식보(食補)가 낫고, 식보보다 행보(行補)가 낫다.”(보약이나 음식보다 걷기가 몸에 더 좋다는 뜻)고 했고, 다산 정약용은 “걷는 것은 청복(淸福, 맑은 즐거움)”이라 했다. 아마도 이들은 보약을 따로 먹지 않았을 것 같다. 걷기는 철학의 본질을 터치한다 . 프랑스 사상가 루소는 철학의 시작을 ‘발’이라고 했다. 발을 떼면서부 터 철학이 시작된다 . 보이고 만져지는 모든 사물들이 물음을 준다. 철학은 물음이다 . 루소는 산책자였 다. 그는 주로 혼자 걸었다 . 본질적으로 걷기는 개인적인 행위이다 . 걷기의 본질은 자유다 . 내가 원할 때 마음대로 떠나고 돌아올 자유, 이리저리 거닐 자유, 루소는 마지막 저작 『고독한 산책자의 몽상』 에서 “혼자 걷는 명상의 시간이야말로 하루 중에 내가 마음이 흐트러지거나 방해받는 일 없이 온전히 나 자신이 되고 나 자신에게 집중하는 유일한 시간이다 .”고 했다. 또한 독일의 니체는 걸으면서 생각하는 것이 철학을 하는 유일한 방법이라고 주장했다 . 1888년, 『우상 의 황혼』에서 그는 이렇게 썼다. “앉아서 지내는 삶은 성령을 거스르는 죄악이다 . 걷기를 통해 나오는 생각만이 어떤 가치를 지닌다.” 니체는 “가장 중요한 것은 길 위에 있다.”고 일갈한다 . 금병 약수터에는 사시사철 약수가 찰찰 흐른다 . 산신령이 흘려보내는 무공해 샘물이다 . 아무리 더운 날도 이곳은 서늘하다 . 듬성듬성한 산벚나무 군락지 속에 평상이 여러 개 놓여 있다. 지친 나그네여 , 내게로 오라고 손짓하는 것 같다. 평상에 앉아 잠깐 쉰다. 걸어온 길도 돌아본다 . 잠시 쉬며 휴식(休 息)이란 한자를 뜯어본다 . 휴식은 ‘사람(人)이 나무(木)에 기대어 , 스스로 (自)의 마음(心)을 들여다보는 ’ 형태다 . 글이란 게 참 오묘하다 . 하고 보니, 그동안 너무 바쁘게 달려온 것 같다. 걸어야 할 곳은 뛰었 고, 뛰어야 할 곳은 자동차를 타고 질주했다 . 내 속의 질주 본능에 지금도 가슴이 쿵쾅거린다 . 걷기는 평등하다 . 있는 사람, 없는 사람, 잘난 사람, 못난 사람 모두 자기 한 걸음, 내 한 걸음이다 . 부 유한 산책자라도 가난한 산책자보다 유리한 점은 전혀 없다. 모두가 공평하게 자기 보폭만큼 , 자기 생 각만큼 , 걷고 놀고 뛰고 쉬는 것이다 . 대중목욕탕에 가면 모두가 똑같은 벌거숭이가 되듯, 길에서는 모 두 보행자일 뿐이다 . 걸을 때 우리는 무언가를 하는 동시에 아무것도 하지 않는다 . 걷기만큼 쉬운 것이 없지만 , 제대로 걷 는 것은 결코 쉽지 않다. 걸으면 감각이 깨어나고 머리가 맑아진다 . 노폐물에 전 오장육부도 서서히 초기화된다 . 잊힐 건 잊히고 , 지울 건 지워진다 . 머리가 가벼워지면 새로운 생각이 채워질 공간이 넓어 진다. 걷는다는 것은 살아 있음의 박동이다 . 두둥, 두 발이 지구북을 두드린다 . 심장이 뛴다. 살아 있 다. 걸어야겠다 ."
